RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Glacier Bay NP & PRES,National Park,1960,900
Alaska Region,Glacier Bay NP & PRES,National Park,1961,1300
Alaska Region,Glacier Bay NP & PRES,National Park,1962,1100
Alaska Region,Glacier Bay NP & PRES,National Park,1963,800
Alaska Region,Glacier Bay NP & PRES,National Park,1964,1000
Alaska Region,Glacier Bay NP & PRES,National Park,1965,1800
Alaska Region,Glacier Bay NP & PRES,National Park,1966,4900
Alaska Region,Glacier Bay NP & PRES,National Park,1967,8300
Alaska Region,Glacier Bay NP & PRES,National Park,1968,13500
Alaska Region,Glacier Bay NP & PRES,National Park,1969,16000
Alaska Region,Glacier Bay NP & PRES,National Park,1970,29700
Alaska Region,Glacier Bay NP & PRES,National Park,1971,17900
Alaska Region,Glacier Bay NP & PRES,National Park,1972,18300
Alaska Region,Glacier Bay NP & PRES,National Park,1973,25400
Alaska Region,Glacier Bay NP & PRES,National Park,1974,50500
Alaska Region,Glacier Bay NP & PRES,National Park,1975,50600
Alaska Region,Glacier Bay NP & PRES,National Park,1976,56700
Alaska Region,Glacier Bay NP & PRES,National Park,1977,88400
Alaska Region,Glacier Bay NP & PRES,National Park,1978,81500
Alaska Region,Glacier Bay NP & PRES,National Park,1979,91032
Alaska Region,Glacier Bay NP & PRES,National Park,1980,95005
Alaska Region,Glacier Bay NP & PRES,National Park,1981,85071
Alaska Region,Glacier Bay NP & PRES,National Park,1982,90354
Alaska Region,Glacier Bay NP & PRES,National Park,1983,92057
Alaska Region,Glacier Bay NP & PRES,National Park,1984,108297
Alaska Region,Glacier Bay NP & PRES,National Park,1985,130943
Alaska Region,Glacier Bay NP & PRES,National Park,1986,136877
Alaska Region,Glacier Bay NP & PRES,National Park,1987,130926
Alaska Region,Glacier Bay NP & PRES,National Park,1988,148756
Alaska Region,Glacier Bay NP & PRES,National Park,1989,150270
Alaska Region,Glacier Bay NP & PRES,National Park,1990,186427
Alaska Region,Glacier Bay NP & PRES,National Park,1991,203653
Alaska Region,Glacier Bay NP & PRES,National Park,1992,211424
Alaska Region,Glacier Bay NP & PRES,National Park,1993,242276
Alaska Region,Glacier Bay NP & PRES,National Park,1994,250614
Alaska Region,Glacier Bay NP & PRES,National Park,1995,252265
Alaska Region,Glacier Bay NP & PRES,National Park,1996,304374
Alaska Region,Glacier Bay NP & PRES,National Park,1997,347046
Alaska Region,Glacier Bay NP & PRES,National Park,1998,403512
Alaska Region,Glacier Bay NP & PRES,National Park,1999,442607
Alaska Region,Glacier Bay NP & PRES,National Park,2000,384684
Alaska Region,Glacier Bay NP & PRES,National Park,2001,380114
Alaska Region,Glacier Bay NP & PRES,National Park,2002,408143
Alaska Region,Glacier Bay NP & PRES,National Park,2003,366319
